Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,X,Y,Z,s_m,kappa,lat_acc_smooth,v_ms,lat_acc_est,in_curve_est
2024-04-07 06:51:47.546,11013.0,281.0,7,100.0,False,12,car,0 days 00:00:00.392000,0 days 02:50:45.912000,30.59777777777778,188.4,-105.7,73.5,0.0,0.0,0.0,78.05555555555556,0.0,0
2024-04-07 06:51:47.706,11264.0,284.0,7,100.0,False,12,car,0 days 00:00:00.552000,0 days 02:50:46.072000,43.22,200.5,-120.2,73.0,0.0,0.0,0.0,78.88888888888889,0.0,0
2024-04-07 06:51:48.186,11528.0,289.0,7,100.0,False,12,car,0 days 00:00:01.032000,0 days 02:50:46.552000,81.75333333333333,215.1,-137.1,72.3,0.0,0.0,0.0,80.27777777777777,0.0,0
2024-04-07 06:51:48.385,11529.0,291.0,7,100.0,False,12,car,0 days 00:00:01.231000,0 days 02:50:46.751000,97.83916666666667,223.5,-146.9,72.0,19.915069670980294,0.0,0.0,80.83333333333333,0.0,0
2024-04-07 06:51:48.785,11438.0,294.0,7,100.0,False,12,car,0 days 00:00:01.631000,0 days 02:50:47.151000,130.50583333333333,259.6,-189.1,70.4,42.24822887428155,0.0,0.0,81.66666666666667,0.0,0
2024-04-07 06:51:49.145,10668.0,298.0,8,100.0,False,12,car,0 days 00:00:01.991000,0 days 02:50:47.511000,160.30583333333334,272.7,-204.1,69.9,62.163298545261846,0.0,0.0,82.77777777777777,0.0,0
2024-04-07 06:51:49.345,10702.0,301.0,8,100.0,False,12,car,0 days 00:00:02.191000,0 days 02:50:47.711000,177.02805555555554,290.0,-224.6,69.1,88.98754131183404,0.0,0.0,83.61111111111111,0.0,0
2024-04-07 06:51:49.505,10793.0,303.0,8,100.0,False,12,car,0 days 00:00:02.351000,0 days 02:50:47.871000,190.4947222222222,290.0,-224.6,69.1,115.81178407840622,0.0,0.0,84.16666666666667,0.0,0
2024-04-07 06:51:50.025,10944.0,307.0,8,100.0,False,12,car,0 days 00:00:02.871000,0 days 02:50:48.391000,234.83916666666664,322.0,-262.0,67.7,142.6360268449784,0.0,0.0,85.27777777777777,0.0,0
2024-04-07 06:51:50.345,11036.0,310.0,8,100.0,False,12,car,0 days 00:00:03.191000,0 days 02:50:48.711000,262.3947222222222,341.0,-284.2,66.9,163.34206461177482,0.0,0.0,86.11111111111111,0.0,0
2024-04-07 06:51:50.585,11041.0,311.0,8,100.0,False,12,car,0 days 00:00:03.431000,0 days 02:50:48.951000,283.12805555555553,354.5,-299.9,66.4,189.44991783642737,0.0,0.0,86.38888888888889,0.0,0
2024-04-07 06:51:50.825,11129.0,313.0,8,100.0,False,12,car,0 days 00:00:03.671000,0 days 02:50:49.191000,303.9947222222222,354.5,-299.9,66.4,215.55777106107993,0.0,0.0,86.94444444444444,0.0,0
2024-04-07 06:51:50.985,11138.0,314.0,8,100.0,False,12,car,0 days 00:00:03.831000,0 days 02:50:49.351000,317.9502777777778,371.4,-319.8,65.6,240.25635401638323,0.0,0.0,87.22222222222221,0.0,0
2024-04-07 06:51:51.465,11205.0,316.0,8,100.0,False,12,car,0 days 00:00:04.311000,0 days 02:50:49.831000,360.0836111111111,397.0,-349.8,64.5,264.9549369716865,0.0,0.0,87.77777777777777,0.0,0
2024-04-07 06:51:51.665,11249.0,317.0,8,100.0,False,12,car,0 days 00:00:04.511000,0 days 02:50:50.031000,377.69472222222225,412.9,-368.7,63.8,289.6535199269898,0.0,0.0,88.05555555555556,0.0,0
2024-04-07 06:51:51.825,11266.0,318.0,8,100.0,False,12,car,0 days 00:00:04.671000,0 days 02:50:50.191000,391.8280555555556,422.0,-379.5,63.4,314.35210288229314,0.0,0.0,88.33333333333333,0.0,0
2024-04-07 06:51:51.985,11268.0,319.0,8,100.0,False,12,car,0 days 00:00:04.831000,0 days 02:50:50.351000,406.0058333333334,422.0,-379.5,63.4,328.47477968239025,0.0,0.0,88.61111111111111,0.0,0
2024-04-07 06:51:52.265,11312.0,319.0,8,100.0,False,12,car,0 days 00:00:05.111000,0 days 02:50:50.631000,430.81694444444446,449.5,-411.8,62.3,342.59745648248736,0.0,0.0,88.61111111111111,0.0,0
2024-04-07 06:51:52.505,11324.0,321.0,8,100.0,False,12,car,0 days 00:00:05.351000,0 days 02:50:50.871000,452.2169444444445,449.5,-411.8,62.3,342.59745648248736,0.0,0.0,89.16666666666667,0.0,0
2024-04-07 06:51:52.825,11360.0,321.0,8,100.0,False,12,car,0 days 00:00:05.671000,0 days 02:50:51.191000,480.75027777777785,508.6,-481.1,59.7,342.59745648248736,0.0,0.0,89.16666666666667,0.0,0
2024-04-07 06:51:52.985,11358.0,321.0,8,100.0,False,12,car,0 days 00:00:05.831000,0 days 02:50:51.351000,495.01694444444456,508.6,-481.1,59.7,342.59745648248736,0.0,0.0,89.16666666666667,0.0,0
2024-04-07 06:51:53.146,11417.0,322.0,8,100.0,False,12,car,0 days 00:00:05.992000,0 days 02:50:51.512000,509.4175000000001,508.6,-481.1,59.7,342.59745648248736,0.0,0.0,89.44444444444444,0.0,0
2024-04-07 06:51:53.386,11479.0,322.0,8,100.0,False,12,car,0 days 00:00:06.232000,0 days 02:50:51.752000,530.8841666666667,512.1,-485.2,59.6,342.59745648248736,0.0,0.0,89.44444444444444,0.0,0
2024-04-07 06:51:53.586,11383.0,322.0,8,100.0,False,12,car,0 days 00:00:06.432000,0 days 02:50:51.952000,548.7730555555556,512.1,-485.2,59.6,342.59745648248736,0.0,0.0,89.44444444444444,0.0,0
2024-04-07 06:51:53.906,11357.0,321.0,8,100.0,False,12,car,0 days 00:00:06.752000,0 days 02:50:52.272000,577.3063888888889,546.7,-526.2,58.2,347.98818927126473,0.0,0.0,89.16666666666667,0.0,0
2024-04-07 06:51:54.066,11311.0,320.0,8,100.0,False,14,car,0 days 00:00:06.912000,0 days 02:50:52.432000,591.5286111111112,546.7,-526.2,58.2,347.98818927126473,-0.05,6.537660563900124,88.88888888888889,395.0617283950617,1
2024-04-07 06:51:54.266,11251.0,320.0,8,100.0,False,10,car,0 days 00:00:07.112000,0 days 02:50:52.632000,609.306388888889,565.0,-547.9,57.4,372.6170341487656,-0.0020567529847055517,16.250887780389544,88.88888888888889,16.250887780389544,1
2024-04-07 06:51:54.426,11173.0,317.0,8,100.0,False,8,car,0 days 00:00:07.272000,0 days 02:50:52.792000,623.3952777777779,565.0,-547.9,57.4,391.90252091991033,-0.0008431577675979023,16.250887780389544,88.05555555555556,6.537660563900124,1
2024-04-07 06:51:54.586,10936.0,316.0,8,98.0,True,8,car,0 days 00:00:07.432000,0 days 02:50:52.952000,637.4397222222224,580.3,-567.2,56.7,415.3413775473143,-0.0021611741142878575,16.267243979592532,87.77777777777777,16.651713144778416,1
2024-04-07 06:51:54.946,10559.0,301.0,8,0.0,True,8,car,0 days 00:00:07.792000,0 days 02:50:53.312000,667.5397222222223,591.5,-582.9,56.2,434.62686431845907,-0.0026266098861160957,16.267243979592532,83.61111111111111,18.362151411420093,1
2024-04-07 06:51:55.105,10068.0,290.0,8,0.0,True,8,car,0 days 00:00:07.951000,0 days 02:50:53.471000,680.3480555555556,604.8,-625.1,54.9,456.94120948026034,-0.0007287109639602203,16.267243979592532,80.55555555555556,4.7287493880443305,1
2024-04-07 06:51:55.345,11125.0,275.0,8,0.0,True,8,car,0 days 00:00:08.191000,0 days 02:50:53.711000,698.6813888888889,604.8,-625.1,54.9,472.6412094802603,-0.0027877485219903373,16.267243979592532,76.38888888888889,16.267243979592532,1
2024-04-07 06:51:55.505,11040.0,259.0,7,0.0,True,8,car,0 days 00:00:08.351000,0 days 02:50:53.871000,710.1925000000001,604.2,-645.1,54.4,486.3412094802602,-0.0031947191091422134,16.267243979592532,71.94444444444444,16.53587596916426,1
2024-04-07 06:51:55.665,10882.0,252.0,7,0.0,True,8,car,0 days 00:00:08.511000,0 days 02:50:54.031000,721.3925,604.2,-645.1,54.4,500.0543418722412,-0.0031916596838839017,16.267243979592532,70.0,15.639132451031118,1
2024-04-07 06:51:55.905,10004.0,252.0,6,0.0,True,0,car,0 days 00:00:08.751000,0 days 02:50:54.271000,738.1925000000001,601.5,-658.8,54.3,513.7674742642222,-0.0031916596838839017,16.53587596916426,70.0,15.639132451031118,1
2024-04-07 06:51:56.105,10902.0,219.0,6,0.0,True,0,car,0 days 00:00:08.951000,0 days 02:50:54.471000,750.3591666666669,594.5,-684.7,54.2,527.2407812079535,-0.008792663959728822,26.66396768541184,60.83333333333333,32.53896266763534,1
2024-04-07 06:51:56.345,10310.0,207.0,5,0.0,True,0,car,0 days 00:00:09.191000,0 days 02:50:54.711000,764.1591666666668,594.5,-684.7,54.2,541.9302332059009,-0.008064716124132126,30.39247776317403,57.5,26.66396768541184,1
2024-04-07 06:51:56.625,9568.0,193.0,5,0.0,True,0,car,0 days 00:00:09.471000,0 days 02:50:54.991000,779.1702777777779,589.2,-697.9,54.2,556.8714513623967,-0.010574418422259268,32.53896266763534,53.61111111111111,30.39247776317403,1
2024-04-07 06:51:56.905,8976.0,180.0,5,0.0,True,0,car,0 days 00:00:09.751000,0 days 02:50:55.271000,793.1702777777779,579.6,-711.9,54.3,568.7226116431456,-0.014122374287021115,35.305935717552785,50.0,35.305935717552785,1
2024-04-07 06:51:57.145,8976.0,175.0,5,0.0,True,0,car,0 days 00:00:09.991000,0 days 02:50:55.511000,804.8369444444445,566.0,-722.5,54.6,583.0236605557254,-0.019039581464233762,35.305935717552785,48.61111111111111,44.991294933808554,1
2024-04-07 06:51:57.385,8536.0,169.0,5,0.0,False,0,car,0 days 00:00:10.231000,0 days 02:50:55.751000,816.1036111111111,566.0,-722.5,54.6,597.7413370027737,-0.018500609574799022,35.305935717552785,46.94444444444444,40.7712893569317,1
2024-04-07 06:51:57.745,7925.0,160.0,5,0.0,False,0,car,0 days 00:00:10.591000,0 days 02:50:56.111000,832.1036111111111,547.0,-729.4,54.9,610.8061753102309,-0.0208411294030053,35.305935717552785,44.44444444444444,41.16766301828207,1
2024-04-07 06:51:57.985,7663.0,155.0,5,0.0,False,0,car,0 days 00:00:10.831000,0 days 02:50:56.351000,842.4369444444445,534.0,-730.7,55.2,620.8061753102309,-0.007631506169900515,14.147140102766967,43.05555555555556,14.147140102766967,1
2024-04-07 06:51:58.265,7904.0,148.0,5,50.0,False,0,car,0 days 00:00:11.111000,0 days 02:50:56.631000,853.9480555555557,524.0,-730.2,55.5,631.2181876037312,-0.007329520898342107,14.147140102766967,41.11111111111111,12.387795197321411,1
2024-04-07 06:51:58.425,7817.0,150.0,5,53.0,False,0,car,0 days 00:00:11.271000,0 days 02:50:56.791000,860.6147222222223,516.7,-728.9,55.8,641.6991226765193,-0.00728132186384241,14.147140102766967,41.666666666666664,12.641183791393072,1
2024-04-07 06:51:58.705,7937.0,152.0,5,55.0,False,0,car,0 days 00:00:11.551000,0 days 02:50:57.071000,872.4369444444445,506.3,-725.7,56.1,652.1986464752447,-0.007268430755713893,14.147140102766967,42.22222222222222,12.9575481620381,1
2024-04-07 06:51:58.945,8202.0,155.0,5,62.0,False,0,car,0 days 00:00:11.791000,0 days 02:50:57.311000,882.7702777777779,495.8,-720.1,56.5,662.7986464752447,-0.010502805705245226,19.469900236768254,43.05555555555556,19.469900236768254,1
2024-04-07 06:51:59.265,8712.0,161.0,5,76.0,False,0,car,0 days 00:00:12.111000,0 days 02:50:57.631000,897.081388888889,486.8,-713.0,56.8,673.3986464752447,-0.012429608254624521,20.40139553681357,44.72222222222222,24.860175583960046,1
2024-04-07 06:51:59.425,8882.0,165.0,5,85.0,False,0,car,0 days 00:00:12.271000,0 days 02:50:57.791000,904.4147222222224,479.9,-705.6,57.0,684.862066558274,-0.009711738701821996,20.40139553681357,45.833333333333336,20.40139553681357,1
2024-04-07 06:51:59.585,8869.0,168.0,5,90.0,False,0,car,0 days 00:00:12.431000,0 days 02:50:57.951000,911.881388888889,479.9,-705.6,57.0,694.7625715958972,-0.011244854686961219,20.40139553681357,46.666666666666664,24.48879465160443,1
2024-04-07 06:51:59.946,9562.0,181.0,5,100.0,False,0,car,0 days 00:00:12.792000,0 days 02:50:58.312000,930.0316666666668,461.5,-678.3,57.5,704.8803776821986,-0.011003347912185097,20.40139553681357,50.27777777777778,27.81486735733765,1
